_5s4_technical_skill,_5s1_recognized_postsecondary,_4s1_nontraditional_program,_3s1_post_program_placement,_2s3_academic_proficiency,_2s2_academic_proficiency,_2s1_academic_proficiency,_1s1_four_year_graduation,fiscal_agent_name,fiscal_agent_aun,school_year
,,0.0927,0.9653,,,,0.9737,A W Beattie Career Center,103020407,2019-2020
,,0.0558,0.75,,,,0.9489,Admiral Peary AVTS,108110307,2019-2020
,,0.0966,0.75,,,,0.9484,Beaver County CTC,127041307,2019-2020
,,0.2796,0.9474,,,,0.9664,Bedford County Technical Center,108051307,2019-2020
,,0.1324,0.8936,,,,0.9439,Berks CTC,114060557,2019-2020
,,0.1818,1,,,,1,Bermudian Springs SD,112011103,2019-2020
,,0.1311,0.7333,,,,0.8846,Bethlehem AVTS,120481107,2019-2020
,,0.08,1,,,,0.95,Bradford Area SD,109420803,2019-2020
,,0.1837,0.98,,,,0.9673,Bucks County Technical High School,122091457,2019-2020
,,0.087,0.9286,,,,0.9585,Butler County AVTS,104101307,2019-2020
,,0.1083,0.6667,,,,0.9684,Carbon Career & Technical Institute,121131507,2019-2020
,,0.1467,1,,,,0.9309,Career Institute of Technology,120483007,2019-2020
,,0.2159,1,,,,0.9737,Carlisle Area SD,115211103,2019-2020
,,0.087,0.9545,,,,0.9471,Central Montco Technical High School,123460957,2019-2020
,,0.1283,0.8571,,,,0.958,Central PA Institute of Science & Technology,110141607,2019-2020
,,0.1004,0.8333,,,,0.9587,Central Westmoreland CTC,107651207,2019-2020
,,0.1234,0.8804,,,,0.9361,Chester County IU 24,124000000,2019-2020
,,0.1256,0.8764,,,,0.9541,Clarion County Career Center,106161357,2019-2020
,,0.0977,0.9821,,,,0.9638,Clearfield County CTC,110171607,2019-2020
,,0.2963,1,,,,0.9709,Columbia-Montour AVTS,116191757,2019-2020
,,0.1846,0.8667,,,,1,Connellsville Area Career & Technical Center,101266007,2019-2020
,,0.0526,1,,,,0.8636,Corry Area SD,105251453,2019-2020
,,0.1405,0.8014,,,,0.9778,Crawford County CTC,105201407,2019-2020
,,0.0867,0.8817,,,,0.9718,CTC of Lackawanna County,119354207,2019-2020
,,0.1901,0.884,,,,0.9538,Cumberland Perry AVTS,115211657,2019-2020
,,0.2125,0.96,,,,0.9885,Dauphin County Technical School,115221607,2019-2020
,,0.0754,0.9783,,,,0.9071,Delaware County Technical High School,125232407,2019-2020
,,0.0204,1,,,,0.9535,Delaware Valley SD,120522003,2019-2020
,,0.1892,0.9643,,,,1,Dover Area SD,112671803,2019-2020
,,0.1101,0.9943,,,,0.9597,Eastern Center for Arts & Technology,123463507,2019-2020
,,0.0865,0.9571,,,,0.9755,Eastern Westmoreland CTC,107652207,2019-2020
,,0.1343,0.9452,,,,0.9542,Erie City SD,105252602,2019-2020
,,0.1682,0.8276,,,,0.9578,Erie County Technical School,105252807,2019-2020
,,0.127,0.7988,,,,0.9293,Fayette County Career & Technical Institute,101262507,2019-2020
,,0.0488,0.913,,,,0.9114,Forbes Road CTC,103023807,2019-2020
,,0.1024,0.9474,,,,0.9746,Franklin County CTC,112282307,2019-2020
,,0.08,1,,,,0.9231,Fulton County AVTS,111292507,2019-2020
,,0.2687,0.9211,,,,1,Gettysburg Area SD,112013753,2019-2020
,,0.1348,0.9308,,,,0.9738,Greater Altoona CTC,108070607,2019-2020
,,0.0645,0.9091,,,,0.9709,Greater Johnstown CTC,108112607,2019-2020
,,0.1083,1,,,,0.9012,Greater Johnstown SD,108112502,2019-2020
,,0.16,0.8409,,,,0.8958,Greene County CTC,101302607,2019-2020
,,0.1174,0.8571,,,,0.9306,Hazleton Area Career Center,118403207,2019-2020
,,0.2852,0.9672,,,,0.9691,Huntingdon County CTC,111312607,2019-2020
,,0.1198,0.9545,,,,0.9704,Indiana County Technology Center,128324207,2019-2020
,,0.1188,0.9167,,,,0.9677,Jefferson County-DuBois AVTS,106333407,2019-2020
,,0.1795,0.0,,,,0.9792,Jersey Shore Area SD,117414003,2019-2020
,,0.0345,0.9231,,,,0.989,Keystone Central CTC,110183707,2019-2020
,,0.2002,0.8286,,,,0.982,Lancaster County CTC,113363807,2019-2020
,,0.0526,0.8462,,,,1,Lancaster SD,113364002,2019-2020
,,0.1048,0.8333,,,,0.9771,Lawrence County CTC,104374207,2019-2020
,,0.2862,1,,,,0.9534,Lebanon County CTC,113384307,2019-2020
,,0.1642,0.9467,,,,0.9461,Lehigh Career & Technical Institute,121393007,2019-2020
,,0.1013,1,,,,0.9806,Lenape Tech,128034607,2019-2020
,,0.0993,0.95,,,,0.9518,Lycoming CTC,117414807,2019-2020
,,0.1078,0.9048,,,,1,McKeesport Area Tech Ctr,103026037,2019-2020
,,0.1559,0.8519,,,,0.9583,Mercer County Career Center,104435107,2019-2020
,,0.0519,0.9515,,,,0.9386,Middle Bucks Institute of Technology,122097007,2019-2020
,,0.1348,0.9412,,,,1,Mifflin County Academy of Science and Technology,111444307,2019-2020
,,0.2576,0.0,,,,0.9474,Milton Area SD,116495003,2019-2020
,,0.0385,1,,,,0.9487,Mon Valley CTC,101634207,2019-2020
,,0.1481,0.8742,,,,0.9677,Monroe Career & Tech Inst,120454507,2019-2020
,,0.0923,0.82,,,,0.9252,North Montco Tech Career Center,123465507,2019-2020
,,0.1556,0.9,,,,0.9786,Northern Tier Career Center,117080607,2019-2020
,,0.2121,0.0,,,,1,Northern Tioga SD,117596003,2019-2020
,,0.0508,0.9565,,,,0.9688,Northern Westmoreland CTC,107656407,2019-2020
,,0.0926,0.9074,,,,0.9808,Northumberland County CTC,116495207,2019-2020
,,0.1719,0.75,,,,0.9143,Octorara Area SD,124156503,2019-2020
